loop,base_token_acc,fs_token_acc,d_token_acc,base_exact,fs_exact,d_exact,base_path_f1,fs_path_f1,d_path_f1,base_path_precision,fs_path_precision,d_path_precision,base_path_recall,fs_path_recall,d_path_recall,base_pred_path_frac,fs_pred_path_frac,d_pred_path_frac,base_fp,fs_fp,d_fp,base_fn,fs_fn,d_fn
1,0.8697309027777778,0.8698090277777778,7.812500000003997e-05,0.0,0.0,0.0,0.0007945310562856434,0.0,-0.0007945310562856434,0.0390625,0.0,-0.0390625,0.0004017840089891074,0.0,-0.0004017840089891074,0.00011284722222222222,3.472222222222222e-05,-7.812499999999999e-05,0.0546875,0.03125,-0.0234375,116.8671875,116.9140625,0.046875
4,0.8700520833333334,0.8700086805555556,-4.340277777781232e-05,0.0,0.0,0.0,0.001471664307466458,0.000143348623853211,-0.001328315683613247,0.08203125,0.0078125,-0.07421875,0.0007429238580939691,7.233796296296296e-05,-0.0006705858951310061,0.00014756944444444445,1.736111111111111e-05,-0.00013020833333333333,0.046875,0.0078125,-0.0390625,116.828125,116.90625,0.078125
8,0.870078125,0.8700520833333334,-2.6041666666642982e-05,0.0,0.0,0.0,0.0016222373743042958,0.00013354700854700856,-0.0014886903657572873,0.0671875,0.0078125,-0.059375,0.0008245758281520808,6.734913793103448e-05,-0.0007572266902210463,0.00022569444444444443,1.736111111111111e-05,-0.00020833333333333332,0.1015625,0.0078125,-0.09375,116.8125,116.90625,0.09375
16,0.8700086805555556,0.8700347222222222,2.6041666666642982e-05,0.0,0.0,0.0,0.001273360488132366,0.0,-0.001273360488132366,0.06510416666666666,0.0,-0.06510416666666666,0.0006439095140697035,0.0,-0.0006439095140697035,0.00022569444444444443,0.0,-0.00022569444444444443,0.125,0.0,-0.125,116.8359375,116.9140625,0.078125
