loop,base_token_acc,fs_token_acc,d_token_acc,base_path_f1,fs_path_f1,d_path_f1,base_pred_path_frac,fs_pred_path_frac,base_fp,fs_fp,base_fn,fs_fn
1,0.8666319444444445,0.8664930555555557,-0.00013888888888879958,0.0005441365735483382,0.0007695754061061548,0.00022543883255781653,0.00010416666666666666,0.00015624999999999998,0.0625,0.09375,117.328125,117.3125
4,0.8693055555555556,0.8694097222222221,0.00010416666666657193,0.0016763080799737993,0.002224214779097162,0.0005479066991233628,0.00031249999999999995,0.00029513888888888884,0.1875,0.125,117.265625,117.21875
8,0.8693923611111111,0.8692534722222222,-0.0001388888888889106,0.00025406504065040653,0.0005580802040979032,0.0003040151634474966,0.00012152777777777777,0.0001388888888888889,0.09375,0.09375,117.34375,117.328125
16,0.8694444444444445,0.8693055555555556,-0.0001388888888889106,0.0010496144304863514,0.0011130707013205991,6.345627083424775e-05,0.00024305555555555555,0.0002777777777777778,0.15625,0.1875,117.296875,117.296875
