pid	label	seed	run_name
6374	loop2_base	52	eqr-loopbudget-20260604T060226Z-0cc0d1b-loop2_base-s52
6375	loop2_fs	52	eqr-loopbudget-20260604T060226Z-0cc0d1b-loop2_fs-s52
6376	loop2_base	53	eqr-loopbudget-20260604T060226Z-0cc0d1b-loop2_base-s53
6377	loop2_fs	53	eqr-loopbudget-20260604T060226Z-0cc0d1b-loop2_fs-s53
6378	loop2_base	54	eqr-loopbudget-20260604T060226Z-0cc0d1b-loop2_base-s54
6379	loop2_fs	54	eqr-loopbudget-20260604T060226Z-0cc0d1b-loop2_fs-s54
6380	loop2_base	55	eqr-loopbudget-20260604T060226Z-0cc0d1b-loop2_base-s55
6381	loop2_fs	55	eqr-loopbudget-20260604T060226Z-0cc0d1b-loop2_fs-s55
