loop,base_token_acc,fs_token_acc,d_token_acc,base_exact,fs_exact,d_exact,base_path_f1,fs_path_f1,d_path_f1,base_path_precision,fs_path_precision,d_path_precision,base_path_recall,fs_path_recall,d_path_recall,base_pred_path_frac,fs_pred_path_frac,d_pred_path_frac,base_fp,fs_fp,d_fp,base_fn,fs_fn,d_fn
1,0.696388888888889,0.6965321180555556,0.00014322916666664742,0.0,0.0,0.0,0.4662196311545168,0.46637631908269483,0.00015668792817802313,0.30478112106383126,0.3048987769182585,0.00011765585442724547,0.9991228359582551,0.9992520554780251,0.00012921951976996304,0.4345616319444445,0.43445312500000005,-0.00010850694444447528,271.91015625,271.79296875,-0.1171875,0.10546875,0.0859375,-0.01953125
4,0.6999001736111112,0.699848090277778,-5.2083333333285964e-05,0.0,0.0,0.0,0.4682435879610285,0.46818814581565055,-5.544214537794856e-05,0.3064274964681358,0.30638219406630784,-4.5302401827929106e-05,0.9999657346491229,0.9999344294318022,-3.130521732064295e-05,0.43257812500000004,0.4326258680555556,4.774305555554914e-05,270.0234375,270.0703125,0.046875,0.00390625,0.0078125,0.00390625
8,0.6998177083333333,0.6998654513888889,4.774305555554914e-05,0.0,0.0,0.0,0.46821052942558,0.4681721179955125,-3.841143006749759e-05,0.30640066575487956,0.30636730436446763,-3.336139041193453e-05,0.999967981557377,0.9999346735419135,-3.330801546352902e-05,0.43262152777777785,0.43264322916666675,2.170138888890616e-05,270.0625,270.0859375,0.0234375,0.00390625,0.0078125,0.00390625
16,0.6996657986111112,0.6998046875000001,0.0001388888888889106,0.0,0.0,0.0,0.4680668724970012,0.4681567875315504,8.991503454919281e-05,0.3062747432695419,0.30635111142587057,7.636815632866556e-05,0.9999697189922481,1.0,3.02810077519311e-05,0.4327907986111112,0.4327039930555556,-8.680555555556912e-05,270.21484375,270.1328125,-0.08203125,0.00390625,0.0,-0.00390625
