backbone,parameters,train_ce_fs,train_ce_nofs,b46_50_exact_fs,b46_50_exact_nofs,b46_50_exact_delta,b51_55_exact_fs,b51_55_exact_nofs,mixed_exact_fs,mixed_exact_nofs,mixed_exact_delta,fs_sec_per_step,nofs_sec_per_step,fs_time_overhead_frac,peak_allocated_mib_fs,peak_allocated_mib_nofs,fs_memory_overhead_mib
rwkv,5092668,1.0190002024173737,1.6273674070835114,0.728515625,0.0,0.728515625,0.0,0.0,0.01953125,0.0,0.01953125,4.041863831996918,3.696766686916351,0.09335107522526087,11040.6142578125,10740.93603515625,299.67822265625
gdn,4866548,1.0508939027786255,1.6258350312709808,0.36328125,0.0,0.36328125,0.0,0.0,0.005859375,0.0,0.005859375,4.885758666992188,4.558857091903686,0.07170691436436183,6129.7451171875,5786.607421875,343.1376953125
gdn2,5461688,1.0062484443187714,1.6227289140224457,0.796875,0.0,0.796875,0.0,0.0,0.0234375,0.0,0.0234375,5.853801689147949,4.993056217670441,0.1723884999394414,8024.95068359375,7681.81298828125,343.1376953125
kda,4735928,1.0179340243339539,1.6266492009162903,0.646484375,0.0,0.646484375,0.0,0.0,0.017578125,0.0,0.017578125,5.580169060230255,5.158153425216675,0.0818152544572388,6608.44970703125,6265.31201171875,343.1376953125
