loop,base_token_acc,fs_token_acc,d_token_acc,base_exact,fs_exact,d_exact,base_path_f1,fs_path_f1,d_path_f1,base_path_precision,fs_path_precision,d_path_precision,base_path_recall,fs_path_recall,d_path_recall,base_pred_path_frac,fs_pred_path_frac,d_pred_path_frac,base_fp,fs_fp,d_fp,base_fn,fs_fn,d_fn
1,0.6935243055555556,0.6960894097222222,0.002565104166666665,0.0,0.0,0.0,0.46404090085572397,0.46651053836699513,0.002469637511271161,0.30303233881224856,0.3051544120463551,0.002122073234106514,0.9977879943062196,0.9976929832631936,-9.501104302600538e-05,0.4364453125,0.4333897569444445,-0.0030555555555555336,273.765625,271.0234375,-2.7421875,0.265625,0.2734375,0.0078125
4,0.6985546874999999,0.6982465277777778,-0.00030815972222209,0.0,0.0,0.0,0.46741798971250886,0.46713806748437103,-0.00027992222813782996,0.30571880373429006,0.30547887006947294,-0.00023993366481711575,1.0,1.0,0.0,0.4335980902777779,0.43393663194444454,0.0003385416666666363,270.9375,271.2421875,0.3046875,0.0,0.0,0.0
8,0.6985329861111111,0.6982682291666668,-0.0002647569444443887,0.0,0.0,0.0,0.46734076773569444,0.46716549492646675,-0.00017527280922768895,0.3056485849387106,0.3055015971826759,-0.00014698775603472214,1.0,1.0,0.0,0.4336848958333335,0.4339019097222223,0.00021701388888883955,271.015625,271.2109375,0.1953125,0.0,0.0,0.0
16,0.6984982638888889,0.698263888888889,-0.00023437499999989786,0.0,0.0,0.0,0.4673371927852398,0.4671596772161769,-0.00017751556906286936,0.3056454639479721,0.30549501942244595,-0.00015044452552614995,1.0,1.0,0.0,0.4336892361111112,0.43390625000000016,0.00021701388888895057,271.01953125,271.21484375,0.1953125,0.0,0.0,0.0
